Date,Close,High,Low,Open,Volume
1980-12-12,0.098207026720047,0.0986339900968185,0.098207026720047,0.098207026720047,469033600
1980-12-15,0.0930835008621215,0.0935104642148441,0.0930835008621215,0.0935104642148441,175884800
1980-12-16,0.0862513482570648,0.0866783058066753,0.0862513482570648,0.0866783058066753,105728000
1980-12-17,0.0883861482143402,0.0888131114687517,0.0883861482143402,0.0883861482143402,86441600
1980-12-18,0.0909486785531044,0.0913756360986036,0.0909486785531044,0.0909486785531044,73449600
1980-12-19,0.0964992120862007,0.0969261755845203,0.0964992120862007,0.0964992120862007,48630400
1980-12-22,0.1011957377195358,0.101623464927456,0.1011957377195358,0.1011957377195358,37363200
1980-12-23,0.1054661273956298,0.1058930907924681,0.1054661273956298,0.1054661273956298,46950400
1980-12-24,0.1110166162252426,0.1114435796177585,0.1110166162252426,0.1110166162252426,48003200
1980-12-26,0.1212643980979919,0.121691361367072,0.1212643980979919,0.1212643980979919,55574400
1980-12-29,0.1229723244905471,0.1233992880537708,0.1229723244905471,0.1229723244905471,93161600
1980-12-30,0.1199835836887359,0.1204105357837397,0.1199835836887359,0.1204105357837397,68880000
1980-12-31,0.1165678426623344,0.116994805954559,0.1165678426623344,0.116994805954559,35750400
1981-01-02,0.1178487464785575,0.1187026732466291,0.1178487464785575,0.1178487464785575,21660800
1981-01-05,0.1152869537472724,0.1157139055990307,0.1152869537472725,0.1157139055990307,35728000
1981-01-06,0.110162653028965,0.1105896162803599,0.110162653028965,0.1105896162803599,45158400
1981-01-07,0.1054661273956298,0.1058930907924681,0.1054661273956298,0.1058930907924681,55686400
1981-01-08,0.1033313274383544,0.103758279409519,0.1033313274383544,0.103758279409519,39827200
1981-01-09,0.108881726861,0.1093086899248934,0.108881726861,0.108881726861,21504000
1981-01-12,0.1080278903245925,0.1088818056686392,0.1080278903245925,0.1088818056686392,23699200
1981-01-13,0.1041852235794067,0.1046121868736793,0.1041852235794067,0.1046121868736793,23049600
1981-01-14,0.1046121343970298,0.1050390974771247,0.1046121343970298,0.1046121343970298,14291200
1981-01-15,0.1067469492554664,0.1076008641007313,0.1067469492554664,0.1067469492554664,14067200
1981-01-16,0.1058930829167366,0.1063200462818197,0.1058930829167366,0.1063200462818197,13395200
1981-01-19,0.1122974976897239,0.1127244610924626,0.1122974976897239,0.1122974976897239,41574400
1981-01-20,0.108881726861,0.1093086899248934,0.108881726861,0.1093086899248934,30083200
1981-01-21,0.1110166162252426,0.1118705316084694,0.1110166162252426,0.1110166162252426,15904000
1981-01-22,0.1122974976897239,0.1131514244952014,0.1122974976897239,0.1122974976897239,35548800
1981-01-23,0.111870527267456,0.1127244540193522,0.111870527267456,0.1122974906434041,11222400
1981-01-26,0.110162653028965,0.1105896162803599,0.110162653028965,0.1105896162803599,24640000
1981-01-27,0.1093087494373321,0.1101626646282313,0.1093087494373321,0.1101626646282313,23699200
1981-01-28,0.1058930829167366,0.1063200462818197,0.1058930829167366,0.1063200462818197,28156800
1981-01-29,0.1020504534244537,0.1024774168648036,0.1020504534244537,0.1024774168648036,43904000
1981-01-30,0.0964992120862007,0.09735313908284,0.0964992120862007,0.09735313908284,46188800
1981-02-02,0.0909486785531044,0.0913756360986036,0.0909486785531044,0.0913756360986036,23766400
1981-02-03,0.0943643823266029,0.0947913399653349,0.0943643823266029,0.0943643823266029,19152000
1981-02-04,0.097780056297779,0.0982070081921967,0.097780056297779,0.097780056297779,27865600
1981-02-05,0.097780056297779,0.0986339714884168,0.097780056297779,0.097780056297779,7929600
1981-02-06,0.098207026720047,0.0986339900968185,0.098207026720047,0.098207026720047,13865600
1981-02-09,0.0930835008621215,0.0939374218666647,0.0930835008621215,0.0939374218666647,16755200
1981-02-10,0.0930835008621215,0.0935104642148441,0.0930835008621215,0.0930835008621215,18345600
1981-02-11,0.0900947675108909,0.0905217251025938,0.0900947675108909,0.0905217251025938,13843200
1981-02-12,0.0892400741577148,0.0896678013574296,0.0892400741577148,0.0896678013574296,14560000
1981-02-13,0.0871053114533424,0.0879592326690872,0.0871053114533424,0.0879592326690872,11155200
1981-02-17,0.0892400741577148,0.0896678013574296,0.0892400741577148,0.0892400741577148,12275200
1981-02-18,0.0930835008621215,0.0939374218666647,0.0930835008621215,0.0930835008621215,19241600
1981-02-19,0.0875322222709655,0.0879591855003274,0.0875322222709655,0.0879591855003274,22310400
1981-02-20,0.0828356817364692,0.0832626450729542,0.0828356817364692,0.0832626450729542,24371200
1981-02-23,0.08411655575037,0.0845435190635378,0.08411655575037,0.08411655575037,14112000
1981-02-24,0.0811278522014617,0.0819817733041438,0.0811278522014617,0.0819817733041438,16979200
1981-02-25,0.0862513482570648,0.0866783058066753,0.0862513482570648,0.0862513482570648,19488000
1981-02-26,0.0875322222709655,0.0879591855003274,0.0875322222709655,0.0875322222709655,10841600
1981-02-27,0.0905217826366424,0.0913757040636867,0.0905217826366424,0.0905217826366424,14761600
1981-03-02,0.0909486785531044,0.0913756360986036,0.0909486785531044,0.0909486785531044,11760000
1981-03-03,0.089667797088623,0.0900947603472784,0.089667797088623,0.0900947603472784,16172800
1981-03-04,0.0888131484389305,0.0892401061701707,0.0888131484389305,0.0892401061701707,13708800
1981-03-05,0.0883861482143402,0.0888131114687517,0.0883861482143402,0.0888131114687517,5376000
1981-03-06,0.0875322222709655,0.088386143028789,0.0875322222709655,0.088386143028789,11603200
1981-03-09,0.0807008892297744,0.0811278469027783,0.0807008892297744,0.0811278469027783,15321600
1981-03-10,0.0768574848771095,0.0772844425897207,0.0768574848771095,0.0772844425897207,28380800
